month,sales,cost
2000-01,48000.0,34514.67
2000-02,50933.99,36538.98
2000-03,53170.08,38329.71
2000-04,54196.9,39471.93
2000-05,53826.5,39724.04
2000-06,52244.43,39082.38
2000-07,49959.72,37781.99
2000-08,47668.29,36233.5
2000-09,46066.29,34912.92
2000-10,45663.45,34234.05
2000-11,46646.41,34437.49
2000-12,48828.71,35526.16
2001-01,51700.8,37264.49
2001-02,54566.62,39241.59
2001-03,56730.31,40981.39
2001-04,57682.78,42070.3
2001-05,57238.36,42268.12
2001-06,55584.72,41572.54
2001-07,53232.86,40219.87
2001-08,50880.39,38621.9
2001-09,49224.79,37255.68
2001-10,48776.72,36535.8
2001-11,49723.35,36703.49
2001-12,51878.27,37762.02
2002-01,54731.55,39475.97
2002-02,57586.35,41434.3
2002-03,59745.59,43160.61
2002-04,60698.68,44240.7
2002-05,60258.14,44433.59
2002-06,58609.69,43736.03
2002-07,56262.27,42383.25
2002-08,53911.39,40785.86
2002-09,52252.56,39419.68
2002-10,51794.64,38698.12
2002-11,52723.21,38861.21
2002-12,54850.67,39911.18
2003-01,57666.21,41611.64
2003-02,60472.57,43550.83
2003-03,62572.71,45251.76
2003-04,63456.49,46299.91
2003-05,62937.37,46454.23
2003-06,61202.39,45711.59
2003-07,58762.14,44307.66
2003-08,56314.14,42653.69
2003-09,54556.07,41226.36
2003-10,53999.11,40440.13
2003-11,54831.22,40536.23
2003-12,56867.08,41518.22
2004-01,59598.08,43151.12
2004-02,62328.89,45024.57
2004-03,64364.11,46662.99
2004-04,65194.87,47653.19
2004-05,64635.48,47755.34
2004-06,62873.4,46967.39
2004-07,60419.17,45525.87
2004-08,57969.78,43842.69
2004-09,56222.01,42394.95
2004-10,55685.69,41597.27
2004-11,56547.15,41690.82
2004-12,58619.15,42678.79
2005-01,61390.98,44325.63
2005-02,64165.15,46220.19
2005-03,66244.07,47885.9
2005-04,67116.8,48908.45
2005-05,66595.75,49046.74
2005-06,64866.74,48297.44
2005-07,62439.01,46895.73
2005-08,60008.64,45252.22
2005-09,58271.89,43842.8
2005-10,57738.54,43080.98
2005-11,58595.3,43206.95
2005-12,60655.76,44223.15
2006-01,63410.42,45893.49
2006-02,66163.3,47806.49
2006-03,68218.66,49485.52
2006-04,69067.57,50516.44
2006-05,68524.55,50658.57
2006-06,66777.56,49909.18
2006-07,64337.92,48504.31
2006-08,61903.6,46855.55
2006-09,60172.53,45439.9
2006-10,59655.82,44672.08
2006-11,60541.15,44793.52
2006-12,62642.64,45807.9
2007-01,65450.86,47480.31
2007-02,68269.5,49400.35
2007-03,70401.97,51092.33
2007-04,71338.1,52142.88
2007-05,70890.82,52311.86
2007-06,69246.16,51596.89
2007-07,66913.27,50234.07
2007-08,64587.81,48634.83
2007-09,62965.33,47275.73
2007-10,62554.61,46570.85
2007-11,63541.08,46760.73
2007-12,65736.86,47847.99
2008-01,68630.78,49596.47
2008-02,71525.13,51594.45
2008-03,73722.36,53364.81
2008-04,74711.77,54492.73
2008-05,74306.17,54736.66
2008-06,72691.98,54092.87
2008-07,70379.13,52796.2
2008-08,68064.48,51257.01
2008-09,66445.1,49950.95
2008-10,66031.56,49291.41
2008-11,67011.29,49518.5
2008-12,69198.47,50634.64
2009-01,72084.04,52403.72
2009-02,74972.32,54414.35
2009-03,77167.59,56189.93
2009-04,78160.74,57316.42
2009-05,77765.87,57553.21
2009-06,76170.28,56897.64
2009-07,73884.39,55585.78
2009-08,71605.1,54029.22
2009-09,70029.07,52704.92
2009-10,69666.03,52027.48
2009-11,70702.16,52238.22
2009-12,72950.07,53340.57
2010-01,75898.82,55099.34
2010-02,78850.63,57103.83
2010-03,81107.58,58877.93
2010-04,82158.32,60007.85
2010-05,81814.77,60252.98
2010-06,80262.18,59610.43
2010-07,78009.18,58315.8
2010-08,75751.17,56779.98
2010-09,74183.68,55479.06
2010-10,73815.76,54826.58
2010-11,74833.31,55062.69
2010-12,77049.17,56189.59
2011-01,79953.05,57970.78
2011-02,82848.26,59994.28
2011-03,85038.37,61782.79
2011-04,86013.82,62921.39
2011-05,85588.59,63168.49
2011-06,83950.18,62520.44
2011-07,81609.55,61212.23
2011-08,79264.39,59654.43
2011-09,77612.45,58323.02
2011-10,77164.8,57631.71
2011-11,78109.11,57821.07
2011-12,80259.63,58893.92
2012-01,83107.11,60614.68
2012-02,85955.48,62572.4
2012-03,88108.44,64291.02
2012-04,89056.16,65356.94
2012-05,88611.9,65530.02
2012-06,86962.05,64808.01
2012-07,84616.08,63427.35
2012-08,82269.98,61799.95
2012-09,80619.55,60403.03
2012-10,80173.81,59651.4
2012-11,81118.37,59786.51
2012-12,83265.47,60811.9
2013-01,86104.03,62492.41
2013-02,88936.36,64417.3
2013-03,91064.9,66110.46
2013-04,91978.89,67158.0
2013-05,91491.1,67319.24
2013-06,89787.85,66591.2
2013-07,87379.04,65209.39
2013-08,84961.46,63584.67
2013-09,83232.18,62193.09
2013-10,82701.82,61448.24
2013-11,83557.9,61590.31
2013-12,85614.81,62621.66
2014-01,88363.74,64306.0
2014-02,91109.34,66231.61
2014-03,93156.35,67921.51
2014-04,93996.18,68961.19
2014-05,93443.54,69109.54
2014-06,91686.4,68363.39
2014-07,89235.95,66958.31
2014-08,86789.87,65305.46
2014-09,85045.68,63881.42
2014-10,84513.95,63100.52
2014-11,85381.76,63203.93
2014-12,87462.54,64195.09
2015-01,90246.19,65838.94
2015-02,93035.73,67725.08
2015-03,95133.94,69377.86
2015-04,96030.14,70384.09
2015-05,95536.81,70503.94
2015-06,93839.7,69735.39
2015-07,91447.86,68315.03
2015-08,89057.0,66654.82
2015-09,87362.87,65231.98
2015-10,86874.7,64461.23
2015-11,87778.48,64583.83
2015-12,89887.07,65603.12
2016-01,92690.2,67283.64
2016-02,95491.15,69214.36
2016-03,97593.42,70918.8
2016-04,98487.42,71982.74
2016-05,97987.11,72165.14
2016-06,96279.98,71462.66
2016-07,93877.01,70110.5
2016-08,91475.99,68519.24
2016-09,89774.81,67164.66
2016-10,89284.72,66460.17
2016-11,90193.62,66645.84
2016-12,92316.04,67723.9
2017-01,95143.07,69458.05
2017-02,97978.99,71436.57
2017-03,100127.87,73182.58
2017-04,101080.28,74281.64
2017-05,100649.82,74492.78
2017-06,99023.24,73813.0
2017-07,96710.32,72478.0
2017-08,94407.29,70899.11
2017-09,92810.12,69553.05
2017-10,92427.94,68854.27
2017-11,93446.36,69043.98
2017-12,95677.52,70125.65
2018-01,98610.16,71864.17
2018-02,101546.3,73849.02
2018-03,103787.98,75604.39
2018-04,104823.96,76716.81
2018-05,104466.46,76946.12
2018-06,102901.17,76289.9
2018-07,100637.27,74984.25
2018-08,98370.87,73440.63
2018-09,96798.25,72135.65
2018-10,96429.29,71483.4
2018-11,97450.75,71724.53
2018-12,99676.29,72861.68
2019-01,102596.43,74658.75
2019-02,105515.18,76704.05
2019-03,107736.69,78520.49
2019-04,108751.86,79693.26
2019-05,108374.97,79980.79
2019-06,106793.61,79379.28
2019-07,104518.67,78123.54
2019-08,102247.59,76623.81
2019-09,100677.68,75355.64
2019-10,100319.38,74732.27
2019-11,101359.62,74993.67
2019-12,103611.75,76142.08
2020-01,106565.55,77941.22
2020-02,109523.91,79979.5
2020-03,111789.48,81780.16
2020-04,112851.37,82928.98
2020-05,112521.84,83185.2
2020-06,110986.35,82546.02
2020-07,108753.56,81247.4
2020-08,106518.79,79700.84
2020-09,104977.31,78383.26
2020-10,104637.77,77709.25
2020-11,105685.61,77920.13
2020-12,107933.02,79019.42
2021-01,110869.09,80772.03
2021-02,113796.4,82767.36
2021-03,116017.78,84529.52
2021-04,117022.99,85644.88
2021-05,116625.36,85873.08
2021-06,115011.79,85211.46
2021-07,112692.77,83895.87
2021-08,110365.65,82337.49
2021-09,108727.96,81012.66
2021-10,108290.7,80335.2
2021-11,109241.65,80545.49
2021-12,111395.28,81645.97
2022-01,114242.73,83400.39
2022-02,117088.44,85396.94
2022-03,119236.72,87158.48
2022-04,120178.45,88270.23
2022-05,119727.63,88490.74
2022-06,118071.43,87816.4
2022-07,115720.11,86482.28
2022-08,113370.38,84898.98
2022-09,111718.72,83542.47
2022-10,111274.72,82826.47
2022-11,112224.45,82991.49
2022-12,114380.49,84040.37
